"DaysSince";"NumberOfRooms";"Address";"GlobalId";"Price";"AgentId";"AgentName";"MobileURL";"PlotArea";"Postcode";"Products";"URL";"SalesStatus";"WGS84_X";"WGS84_Y";"LivingArea";"City";"PropertyType"
3 weken;3;Fritz Dietrich Kahlenbergstraat 151;3881798;275000;62831;Klok Real Estate B.V.;http://m.funda.nl/obj.aspx?goi=3881798;NA;1087LL;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-85690797-fritz-dietrich-kahlenbergstraat-151/;Verkocht onder voorbehoud;5.010191;52.34969;83;Amsterdam;appartement
4 weken;2;Groen van Prinstererstraat 85 huis;3877446;237500;6036;Koudijs Makelaardij;http://m.funda.nl/obj.aspx?goi=3877446;NA;1051EL;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49222809-groen-van-prinstererstraat-85-huis/;Verkocht onder voorbehoud;4.872955;52.382;37;Amsterdam;appartement
4 weken;3;Bloemgracht 90 B;3877003;848000;24663;Urban Makelaars AMSTERDAM;http://m.funda.nl/obj.aspx?goi=3877003;NA;1015TM;c("Video", "Plattegrond", "360-fotos", "Featured", "Toppositie");http://www.funda.nl/koop/amsterdam/appartement-49222466-bloemgracht-90-b/;Verkocht onder voorbehoud;4.880455;52.37483;103;Amsterdam;appartement
4 weken;2;Da Costakade 178 III A;3875272;225000;24554;Peter Pals Makelaardij o/g b.v.;http://m.funda.nl/obj.aspx?goi=3875272;NA;1053XE;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49220635-da-costakade-178-iii-a/;Verkocht onder voorbehoud;4.873302;52.36726;37;Amsterdam;appartement
5 weken;3;Barcelonaplein 61;3867203;3e+05;12299;Kolt Makelaardij;http://m.funda.nl/obj.aspx?goi=3867203;NA;1019LX;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49212666-barcelonaplein-61/;Verkocht onder voorbehoud;4.944824;52.37691;64;Amsterdam;appartement
7 weken;1;Lange Leidsedwarsstraat 59 III;3852128;2e+05;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3852128;NA;1017NH;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49207581-lange-leidsedwarsstraat-59-iii/;Verkocht onder voorbehoud;4.884985;52.36377;26;Amsterdam;appartement
7 weken;2;Tweede Van der Helststraat 29 HS;3846797;350000;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3846797;NA;1073AG;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49291150-tweede-van-der-helststraat-29-hs/;Verkocht onder voorbehoud;4.894877;52.35102;54;Amsterdam;appartement
8 weken;2;Borgerstraat 201 II;3840230;3e+05;24755;Amsterdam @ Home Makelaars;http://m.funda.nl/obj.aspx?goi=3840230;NA;1053PK;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49295693-borgerstraat-201-ii/;Verkocht onder voorbehoud;4.862329;52.36401;44;Amsterdam;appartement
8 weken;1;Bos en Lommerplantsoen 21 D;3840207;145000;24755;Amsterdam @ Home Makelaars;http://m.funda.nl/obj.aspx?goi=3840207;NA;1055AA;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49295660-bos-en-lommerplantsoen-21-d/;Verkocht onder voorbehoud;4.844366;52.37657;31;Amsterdam;appartement
2 maanden;4;Andreasplein 38;3832091;650000;24648;Heeren Makelaars;http://m.funda.nl/obj.aspx?goi=3832091;NA;1058GD;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49287454-andreasplein-38/;Verkocht onder voorbehoud;4.845209;52.35688;115;Amsterdam;appartement
